time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-09-09T06:28:46.568Z,-31.9776525,115.8159774,-22.5,20.0,,,0,network,,,,,,,,40,
2020-09-09T06:30:14.889Z,-31.9776593,115.8159795,-22.5,20.0,,,0,network,,,,,,,,40,
2020-09-09T06:43:53.000Z,-31.97740554,115.81693672,-36.0,18.224,,0.0,0,gps,,,,,,,,36,
2020-09-09T06:44:07.000Z,-31.97731546,115.81706784,-14.0,28.944,,0.0,0,gps,1.4,0.9,1.7,-33.0,,,,36,
2020-09-09T06:44:21.000Z,-31.97707555,115.81716058,-36.0,24.656,9.4,0.87,0,gps,1.5,0.9,1.7,-33.0,,,,36,
2020-09-09T06:44:35.000Z,-31.97683634,115.81715247,-31.0,24.656,10.2,2.9,0,gps,1.1,0.9,1.5,-33.0,,,,36,
2020-09-09T06:44:49.000Z,-31.97654395,115.81734571,-22.0,24.656,353.6,0.92,0,gps,1.1,0.9,1.4,-33.0,,,,36,
2020-09-09T06:45:04.000Z,-31.97643437,115.81751432,-25.0,18.224,5.5,0.93,0,gps,1.8,0.9,2.0,-33.0,,,,36,
2020-09-09T06:45:17.000Z,-31.97631738,115.817342,-21.0,18.224,19.4,0.5,0,gps,1.0,0.9,1.3,-33.0,,,,36,
2020-09-09T06:45:30.000Z,-31.97624555,115.81760037,-17.0,26.800001,90.0,1.86,0,gps,0.9,0.8,1.2,-33.0,,,,36,
2020-09-09T06:45:51.000Z,-31.97630521,115.81771098,-23.0,16.08,,0.0,0,gps,1.0,0.8,1.2,-33.0,,,,36,
2020-09-09T06:46:11.000Z,-31.97629889,115.81770635,-27.0,26.800001,,0.0,0,gps,1.0,0.8,1.3,-33.0,,,,36,
2020-09-09T06:46:24.000Z,-31.97628082,115.8177112,-26.0,18.224,,0.0,0,gps,1.1,0.9,1.4,-33.0,,,,36,
2020-09-09T06:46:43.000Z,-31.97624504,115.81776263,-23.0,27.872002,12.2,1.59,0,gps,1.0,0.8,1.3,-33.0,,,,36,
2020-09-09T06:46:56.000Z,-31.976059,115.81801216,-14.0,24.656,129.4,1.08,0,gps,1.1,0.9,1.5,-33.0,,,,36,
2020-09-09T06:47:18.000Z,-31.97629456,115.81813486,-52.0,15.008,202.3,0.49,0,gps,1.1,0.9,1.4,-33.0,,,,35,
2020-09-09T06:47:31.000Z,-31.97631094,115.81816454,-54.0,13.936001,182.1,2.03,0,gps,0.8,0.9,1.2,-33.0,,,,35,
2020-09-09T06:47:45.000Z,-31.9765512,115.81788178,-26.0,36.448,,0.0,0,gps,0.8,0.8,1.1,-33.0,,,,35,
2020-09-09T06:47:59.000Z,-31.97647014,115.81800402,-27.0,30.016,,0.0,0,gps,0.7,0.8,1.1,-33.0,,,,35,
2020-09-09T06:48:13.000Z,-31.97641835,115.81804193,-26.0,11.792,,0.0,0,gps,0.7,0.8,1.0,-33.0,,,,35,
2020-09-09T06:48:34.000Z,-31.97638614,115.81801407,-25.0,19.296001,,0.0,0,gps,0.7,0.8,1.0,-33.0,,,,35,
2020-09-09T06:48:48.000Z,-31.9763858,115.81799064,-18.0,25.728,,0.0,0,gps,0.9,0.8,1.2,-33.0,,,,35,
2020-09-09T06:49:00.000Z,-31.97639758,115.81799227,-23.0,17.152,,0.0,0,gps,1.0,0.9,1.4,-33.0,,,,35,
2020-09-09T06:49:13.000Z,-31.9763561,115.81792676,-13.0,15.008,30.5,1.7,0,gps,0.8,0.8,1.1,-33.0,,,,35,
2020-09-09T06:49:26.000Z,-31.97646238,115.81774538,-26.0,17.152,,0.0,0,gps,0.8,0.8,1.1,-33.0,,,,35,
2020-09-09T06:49:40.000Z,-31.97642027,115.81771801,-23.0,18.224,,0.0,0,gps,0.8,0.8,1.1,-33.0,,,,35,
2020-09-09T06:49:56.000Z,-31.97635754,115.81769266,-17.0,30.016,,0.0,7,gps,1.1,0.9,1.4,-33.0,,,,34,
2020-09-09T06:50:10.000Z,-31.9763528,115.81766446,-14.0,20.368,,0.0,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:50:22.000Z,-31.9763461,115.81765206,-14.0,18.224,,0.0,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:50:35.000Z,-31.97634815,115.81764812,-13.0,26.800001,,0.0,0,gps,1.1,0.8,1.3,-33.0,,,,34,
2020-09-09T06:50:48.000Z,-31.97635537,115.81764569,-12.0,21.44,,0.0,0,gps,1.5,0.9,1.7,-33.0,,,,34,
2020-09-09T06:51:01.000Z,-31.97637367,115.81766754,-12.0,21.44,,0.0,0,gps,1.0,0.8,1.2,-33.0,,,,34,
2020-09-09T06:51:22.000Z,-31.97636487,115.81774289,-18.0,16.08,76.6,0.69,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:51:35.000Z,-31.9764124,115.8179681,-8.0,8.576,,0.0,0,gps,0.8,0.8,1.1,-33.0,,,,34,
2020-09-09T06:51:57.000Z,-31.97643682,115.81799112,-4.0,18.224,,0.0,0,gps,0.8,0.8,1.1,-33.0,,,,34,
2020-09-09T06:52:10.000Z,-31.97638204,115.81803743,-20.0,17.152,,0.0,0,gps,0.7,0.7,1.1,-33.0,,,,34,
2020-09-09T06:52:23.000Z,-31.97642174,115.81804225,-13.0,18.224,,0.0,0,gps,0.7,0.8,1.0,-33.0,,,,34,
2020-09-09T06:52:37.000Z,-31.97644705,115.81796553,-22.0,10.72,288.0,1.12,0,gps,1.1,0.8,1.4,-33.0,,,,34,
2020-09-09T06:52:50.000Z,-31.97675134,115.8177314,-8.0,16.08,224.3,2.85,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:53:03.000Z,-31.97661963,115.81764368,-20.0,21.44,33.9,1.25,0,gps,0.8,0.7,1.1,-33.0,,,,34,
2020-09-09T06:53:25.000Z,-31.97651254,115.81763503,-24.0,18.224,33.9,2.42,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:53:39.000Z,-31.97642363,115.81768234,-34.0,11.792,105.2,0.69,0,gps,1.0,0.9,1.4,-33.0,,,,34,
2020-09-09T06:54:00.000Z,-31.97649986,115.81795774,-20.0,16.08,89.2,1.04,0,gps,1.2,0.9,1.5,-33.0,,,,34,
2020-09-09T06:54:14.000Z,-31.97655245,115.81789167,-27.0,27.872002,,0.0,0,gps,1.0,0.9,1.3,-33.0,,,,34,
2020-09-09T06:54:27.000Z,-31.97655585,115.81795946,-24.0,17.152,,0.0,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:54:40.000Z,-31.97655445,115.8180356,-24.0,13.936001,174.7,0.4,0,gps,0.9,0.8,1.2,-33.0,,,,34,
2020-09-09T06:54:52.000Z,-31.97667221,115.8178905,-29.0,13.936001,291.1,2.73,0,gps,0.8,0.8,1.1,-33.0,,,,34,
2020-09-09T06:55:05.000Z,-31.97655702,115.81784175,-24.0,11.792,313.0,2.39,0,gps,1.2,1.0,1.5,-33.0,,,,33,
2020-09-09T06:55:17.000Z,-31.97664456,115.8177109,-23.0,12.864,220.1,0.31,0,gps,0.9,0.8,1.2,-33.0,,,,33,
2020-09-09T06:55:30.000Z,-31.97645213,115.81761141,-41.0,16.08,213.5,0.88,0,gps,1.1,0.9,1.4,-33.0,,,,33,
2020-09-09T06:55:44.000Z,-31.97661208,115.81759864,-30.0,11.792,167.9,0.44,0,gps,0.8,0.8,1.1,-33.0,,,,33,
2020-09-09T06:55:57.000Z,-31.97665415,115.81766279,-19.0,20.368,165.1,1.4,0,gps,1.3,0.9,1.6,-33.0,,,,33,
2020-09-09T06:56:11.000Z,-31.97654765,115.81777577,-22.0,17.152,40.0,1.62,0,gps,,,,-33.0,,,,33,
2020-09-09T06:56:24.000Z,-31.97676915,115.81783355,-25.0,20.368,63.3,1.45,0,gps,1.2,0.9,1.5,-33.0,,,,33,
2020-09-09T06:56:37.000Z,-31.97663851,115.81801843,-24.0,9.648001,101.9,1.19,0,gps,1.1,0.9,1.4,-33.0,,,,33,
2020-09-09T06:56:50.000Z,-31.97669788,115.81818347,-14.0,8.576,167.4,0.55,0,gps,0.9,0.8,1.2,-33.0,,,,33,
2020-09-09T06:57:03.000Z,-31.97667794,115.81805109,-24.0,20.368,249.7,1.47,0,gps,0.8,0.7,1.1,-33.0,,,,33,
2020-09-09T06:57:16.000Z,-31.976679,115.81809824,-23.0,19.296001,335.7,0.82,0,gps,1.4,1.0,1.7,-33.0,,,,33,
2020-09-09T06:57:29.000Z,-31.97670719,115.81772786,-27.0,12.864,269.8,3.47,0,gps,1.0,0.9,1.3,-33.0,,,,33,
2020-09-09T06:57:49.000Z,-31.97659571,115.81770837,-22.0,19.296001,46.5,2.02,0,gps,1.0,0.8,1.3,-33.0,,,,33,
2020-09-09T06:58:03.000Z,-31.97672263,115.81763599,-21.0,22.512001,291.0,1.08,0,gps,1.0,0.8,1.3,-33.0,,,,33,
2020-09-09T06:58:19.000Z,-31.97679539,115.81779063,-20.0,33.232002,111.6,1.08,0,gps,1.4,0.9,1.7,-33.0,,,,33,
2020-09-09T06:58:33.000Z,-31.9769437,115.81798663,-23.0,33.232002,184.9,1.95,0,gps,2.5,1.0,2.7,-33.0,,,,32,
2020-09-09T06:58:56.000Z,-31.97675349,115.81809394,-23.0,32.16,50.4,0.7,6,gps,2.1,1.0,2.3,-33.0,,,,32,
2020-09-09T06:59:14.000Z,-31.97689825,115.81802082,-22.0,22.512001,234.2,0.86,0,gps,2.1,1.0,2.3,-33.0,,,,32,
2020-09-09T06:59:28.000Z,-31.9767562,115.81846318,-24.0,23.584,358.0,0.98,0,gps,1.8,0.9,2.0,-33.0,,,,32,
2020-09-09T06:59:48.000Z,-31.97645962,115.81823764,1.0,17.152,309.0,3.14,0,gps,1.0,0.9,1.4,-33.0,,,,32,
2020-09-09T07:00:09.000Z,-31.9764115,115.81822823,-23.0,13.936001,326.0,0.65,0,gps,0.9,0.8,1.2,-33.0,,,,32,
2020-09-09T07:00:21.000Z,-31.97627099,115.81830798,-27.0,9.648001,87.9,0.63,0,gps,0.9,0.9,1.2,-33.0,,,,32,
2020-09-09T07:00:35.000Z,-31.97619921,115.81820642,-14.0,8.576,315.8,1.26,0,gps,0.9,0.8,1.2,-33.0,,,,32,
2020-09-09T07:00:50.000Z,-31.97565697,115.81819258,-35.0,36.448,315.1,0.55,0,gps,0.9,0.8,1.2,-33.0,,,,32,
2020-09-09T07:01:04.000Z,-31.97619807,115.81823756,-19.0,24.656,186.5,2.85,0,gps,1.0,0.9,1.4,-33.0,,,,32,
2020-09-09T07:01:24.000Z,-31.97615544,115.81830008,-23.0,22.512001,202.9,1.21,0,gps,0.9,0.8,1.2,-33.0,,,,32,
2020-09-09T07:01:37.000Z,-31.97624219,115.8182842,-22.0,7.504,,0.0,0,gps,0.9,0.9,1.2,-33.0,,,,32,
2020-09-09T07:01:58.000Z,-31.97625486,115.8183132,-25.0,30.016,,0.0,0,gps,0.8,0.8,1.1,-33.0,,,,32,
2020-09-09T07:02:12.000Z,-31.97631575,115.8183282,-24.0,18.224,,0.0,0,gps,1.5,1.0,1.8,-33.0,,,,32,
2020-09-09T07:02:32.000Z,-31.97633157,115.81833103,-23.0,17.152,,0.0,0,gps,0.9,0.9,1.3,-33.0,,,,32,
2020-09-09T07:02:53.000Z,-31.97645513,115.81831377,-36.0,9.648001,,0.0,0,gps,1.0,0.9,1.4,-33.0,,,,32,
