20-09-12-15-58-57,10:BD:18:F0:CA:BF,40/70,-70,Unifi
20-09-12-15-58-57,A0:CF:5B:3D:5F:90,39/70,-71,Unifi
20-09-12-15-58-57,10:BD:18:C7:27:50,34/70,-76,Unifi
20-09-12-15-58-57,10:BD:18:C7:27:5F,30/70,-80,Unifi
20-09-12-15-58-57,A0:CF:5B:3D:7F:90,36/70,-74,Unifi
20-09-12-15-58-57,10:BD:18:C7:29:E0,28/70,-82,Unifi
20-09-12-15-58-57,10:BD:18:F0:CA:B0,38/70,-72,Unifi
20-09-12-15-58-57,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-12-15-58-57,38:ED:18:D0:EF:60,34/70,-76,Unifi
20-09-12-15-58-57,10:BD:18:C7:29:EF,29/70,-81,Unifi
20-09-12-15-58-57,28:6F:7F:90:B2:6F,24/70,-86,Unifi
20-09-12-15-58-57,40:CE:24:C4:DB:20,29/70,-81,Unifi
